record_id,raw_source,raw_title,normalized_title,publication_date,source_publication,byline_or_credit,person_name_variant,muck_rack_url,original_url,url_status,evidence_status,duplicate_group_id,duplicate_status,confidence,notes
MR020,Muck Rack,Nu bokas allt fler dop och vigslar,Nu bokas allt fler dop och vigslar,2021-06-04,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oI4oXJ/nu-bokas-allt-fler-dop-och-vigslar,https://www.svt.se/nyheter/lokalt/jonkoping/nu-bokas-allt-fler-dop-och-vigslar,original_url_found,verified_original,DG030,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR021,Muck Rack,Vårdcentralen i Vetlanda: ”Vi riskerar att få slänga doser”,Vårdcentralen i Vetlanda: ”Vi riskerar att få slänga doser”,2021-05-30,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oIzt61/vardcentralen-i-vetlanda-vi-riskerar-att-fa-slanga-doser,https://www.svt.se/nyheter/lokalt/jonkoping/vardcentralerna-vi-riskerar-att-fa-slanga-doser,original_url_found,verified_original,DG031,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR022,Muck Rack,Här spelar Kerstin piano för vaccinbesökarna,Här spelar Kerstin piano för vaccinbesökarna,2021-05-28,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oIpxyV/har-spelar-kerstin-piano-for-vaccinbesokarna,https://www.svt.se/nyheter/lokalt/jonkoping/har-spelar-kerstin-piano-for-vaccinbesokarna,original_url_found,verified_original,DG032,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR023,Muck Rack,Han vaccineras i favorittröjan: ”Nu ser de vart jag vill åka”,Han vaccineras i favorittröjan: ”Nu ser de vart jag vill åka”,2021-05-28,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/ouNgyf/han-vaccineras-i-favorittrojan-nu-ser-de-vart-jag-vill-aka,https://www.svt.se/nyheter/lokalt/jonkoping/han-har-pa-sig-favorittrojan-jag-hoppas-de-ser-vart-jag-vill-aka,original_url_found,verified_original,DG033,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR024,Muck Rack,Här massvaccineras folk på hockeyplanen,Här massvaccineras folk på hockeyplanen,2021-05-28,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/ouD5Of/har-massvaccineras-folk-pa-hockeyplanen,https://www.svt.se/nyheter/lokalt/jonkoping/har-massvaccineras-folk-pa-hockey-arenan,original_url_found,verified_original,DG034,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR025,Muck Rack,De förbereder 800 vaccindoser per dag,De förbereder 800 vaccindoser per dag,2021-05-28,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/ouD5sU/de-forbereder-800-vaccindoser-per-dag,https://www.svt.se/nyheter/lokalt/jonkoping/pensionarerna-forbereder-800-vaccindoser-per-dag,original_url_found,verified_original,DG035,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR026,Muck Rack,Stor frustration hos resenärer - länstrafikens biljettsystem krånglar fortfarande,Stor frustration hos resenärer – länstrafikens biljettsystem krånglar fortfarande,2021-05-24,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/ouAnQ0/stor-frustration-hos-resenarer-lanstrafikens-biljettsystem-kranglar-fortfarande,https://www.svt.se/nyheter/lokalt/jonkoping/frustration-bland-flera-jonkopingsbor-nar-jlt-byter-biljettsystem,original_url_found,verified_original,DG036,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR027,Muck Rack,"Margit, 89, har skaffat nya buss-appen: ”Måste hänga med”","Margit, 89, har skaffat nya buss-appen: ”Måste hänga med”",2021-05-24,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/ouAnQI/margit-89-har-skaffat-nya-buss-appen-maste-hanga-med,https://www.svt.se/nyheter/lokalt/jonkoping/margit-89-har-laddat-ner-nya-appen-vill-man-lara-gammal-sa-maste-man-hanga-med,original_url_found,verified_original,DG037,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR028,Muck Rack,Nässjö Basket får utmärkelsen Årets Lyft,Nässjö Basket får utmärkelsen Årets Lyft,2021-05-21,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/ou743U/nassjo-basket-far-utmarkelsen-arets-lyft,https://www.svt.se/nyheter/lokalt/jonkoping/nassjo-basket-far-utmarkelsen-arets-lyft,original_url_found,verified_original,DG038,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR029,Muck Rack,Man dog efter akupunktur - fallet uppe i hovrätten,Man dog efter akupunktur – fallet uppe i hovrätten,2021-05-17,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/ouCahM/man-dog-efter-akupunktur-fallet-uppe-i-hovratten,https://www.svt.se/nyheter/lokalt/jonkoping/man-dog-efter-akupunktur-nu-inleds-hovrattsforhandlingen,original_url_found,verified_original,DG039,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR030,Muck Rack,De lär sig svenska på camping i Sävsjö för att komma in på arbetsmarknaden,De lär sig svenska på camping i Sävsjö för att komma in på arbetsmarknaden,2021-05-15,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/ouRjAf/de-lar-sig-svenska-pa-camping-i-savsjo-for-att-komma-in-pa-arbetsmarknaden,https://www.svt.se/nyheter/lokalt/jonkoping/de-arbetar-pa-camping-for-att-komma-in-pa-arbetsmarknaden,original_url_found,verified_original,DG040,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR031,Muck Rack,Skadade människor satt på kundvagnar - butikschefen hoppas på rättvis dom,Skadade människor satt på kundvagnar – butikschefen hoppas på rättvis dom,2021-05-14,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oueYyA/skadade-manniskor-satt-pa-kundvagnar-butikschefen-hoppas-pa-rattvis-dom,https://www.svt.se/nyheter/lokalt/jonkoping/skadade-manniskor-lag-i-kundvagnar-butikschefen-hoppas-pa-rattvis-dom,original_url_found,verified_original,DG041,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR032,Muck Rack,"Hör larmsamtalet: ”De är här inne, jag är livrädd!”","Hör larmsamtalet: ”De är här inne, jag är livrädd!”",2021-05-07,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oVax06/hor-larmsamtalet-de-ar-har-inne-jag-ar-livradd,https://www.svt.se/nyheter/lokalt/jonkoping/hor-larmsamtalet-de-ar-har-inne-jag-ar-livradd,original_url_found,verified_original,DG042,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR033,Muck Rack,Vaccination mot covid-19: Skarp kritik mot kommunens hantering av hemlösa,Vaccination mot covid-19: Skarp kritik mot kommunens hantering av hemlösa,2021-05-06,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oV71if/vaccination-mot-covid-19-skarp-kritik-mot-kommunens-hantering-av-hemlosa,https://www.svt.se/nyheter/lokalt/jonkoping/vaccination-mot-covid-19-skarp-kritik-mot-kommunens-hantering-av-hemlosa,original_url_found,verified_original,DG043,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR034,Muck Rack,Trots snabbt teknikskifte - fordonslärarna positiva till elbilslära,Trots snabbt teknikskifte – fordonslärarna positiva till elbilslära,2021-05-05,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oVVBOy/trots-snabbt-teknikskifte-fordonslararna-positiva-till-elbilslara,https://www.svt.se/nyheter/lokalt/jonkoping/mer-elbilslara-pa-fordonsprogrammet-i-vetlanda,original_url_found,verified_original,DG044,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR035,Muck Rack,De drömde om att få meka - nu utbildas de i elbilslära,De drömde om att få meka – nu utbildas de i elbilslära,2021-05-05,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oVVBjs/de-dromde-om-att-fa-meka-nu-utbildas-de-i-elbilslara,https://www.svt.se/nyheter/lokalt/jonkoping/de-dromde-om-att-fa-skruva-nu-utbildas-de-i-el-bilslara,original_url_found,verified_original,DG045,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR036,Muck Rack,Hovrätten ändrar dom mot 14-åring efter knivdådet i Huskvarna,14-åringen frias helt efter knivdådet i Huskvarna,2021-05-04,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oVKhQJ/hovratten-andrar-dom-mot-14-aring-efter-knivdadet-i-huskvarna,https://www.svt.se/nyheter/lokalt/jonkoping/hovratten-andrar-dom-mot-14-aring-efter-knivdadet-i-huskvarna,original_url_found,verified_original,DG046,unique,medium,"Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: URL-slug, källa, datum/byline och hämtad originaltitel matchar publiceringsposten; aktuell originaltitel är '14-åringen frias helt efter knivdådet i Huskvarna'."
MR037,Muck Rack,Efter plastskatten - försäljning av avfallspåsar har fördubblats,Efter plastskatten – försäljning av avfallspåsar har ökat stort,2021-05-01,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oVL2w0/efter-plastskatten-forsaljning-av-avfallspasar-har-fordubblats,https://www.svt.se/nyheter/lokalt/jonkoping/efter-plastpaseskatten-forsaljning-av-avfallspasar-har-mer-an-fordubblats,original_url_found,verified_original,DG047,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR038,Muck Rack,Finansdepartementet om plastskatten: ”Den verkar ha haft stor effekt”,Finansdepartementet om plastskatten: ”Den verkar ha haft stor effekt”,2021-05-01,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oVL2wp/finansdepartementet-om-plastskatten-den-verkar-ha-haft-stor-effekt,https://www.svt.se/nyheter/lokalt/jonkoping/regeringen-om-plastskatten-den-verkar-ha-haft-stor-effekt,original_url_found,verified_original,DG048,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR039,Muck Rack,Hon har använt tygkasse i många år: ”Hur svårt ska det vara?”,Hon har använt tygkasse i många år: ”Hur svårt ska det vara?”,2021-05-01,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oVL2KE/hon-har-anvant-tygkasse-i-manga-ar-hur-svart-ska-det-vara,https://www.svt.se/nyheter/lokalt/jonkoping/hon-har-anvant-sin-tygkasse-i-manga-ar-hur-svart-ska-det-vara,original_url_found,verified_original,DG049,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR040,Muck Rack,Dreamhackfestivalen sker i interaktivt spel under pandemin,Dreamhackfestivalen sker i interaktivt spel under pandemin,2021-04-23,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/owJj6U/dreamhackfestivalen-sker-i-interaktivt-spel-under-pandemin,https://www.svt.se/nyheter/lokalt/jonkoping/dreamhackfestivalen-sker-i-interaktivt-spel-under-pandemin,original_url_found,verified_original,DG050,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR041,Muck Rack,Forskare bakom HV71-stuide: ”Nedflyttningen kan få flera konsekvenser”,Forskare bakom HV71-studie: ”Nedflyttningen kan få flera konsekvenser”,2021-04-22,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/owcP56/forskare-bakom-hv71-stuide-nedflyttningen-kan-fa-flera-konsekvenser,https://www.svt.se/nyheter/lokalt/jonkoping/forskare-bakom-hv71-stuide-nedflyttningen-kan-fa-flera-konsekvenser,original_url_found,verified_original,DG051,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR042,Muck Rack,Skrev ”döda blattarna” på Facebook - nu åtalas politikern,Skrev ”döda blattarna” på Facebook – nu åtalas före detta politikern,2021-04-22,Sveriges Television,By Simon Fredling; Johannes Tolf,Simon Fredling,https://muckrack.com/link/ow75sh/skrev-doda-blattarna-pa-facebook-nu-atalas-politikern,https://www.svt.se/nyheter/lokalt/jonkoping/skrev-doda-blattarna-pa-facebook-nu-atalas-sd-politikern,original_url_found,verified_original,DG052,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR043,Muck Rack,Vetlandabor ska kunna få hälsosammare vanor,Vetlandabor ska kunna få hälsosammare vanor,2021-04-17,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/ow88sm/vetlandabor-ska-kunna-fa-halsosammare-vanor,https://www.svt.se/nyheter/lokalt/jonkoping/vetlandabor-ska-kunna-fa-halsosammare-vanor,original_url_found,verified_original,DG053,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR044,Muck Rack,Jönköping lyfts som föredöme för att få nyanlända i jobb,Jönköping lyfts som föredöme för att få nyanlända i jobb,2021-04-14,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/owpLxh/jonkoping-lyfts-som-foredome-for-att-fa-nyanlanda-i-jobb,https://www.svt.se/nyheter/lokalt/jonkoping/nu-borjar-intensivaret-jonkoping-lyfts-som-foredome,original_url_found,verified_original,DG054,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR045,Both,Polisen efter kritik om tafsardagen: ”Vi skulle varit tydligare med att källan inte är solklar”,Polisen efter kritiken om tafsardagen: ”Vi skulle varit tydligare med att källan inte är solklar”,2021-04-13,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oHSWqh/polisen-efter-kritik-om-tafsardagen-vi-skulle-varit-tydligare-med-att-kallan-inte-ar-solklar,https://www.svt.se/nyheter/lokalt/jonkoping/polisen-efter-kritiken-om-tafsardagen-vi-skulle-gatt-ut-med-detta-pa-ett-annat-satt,original_url_found,mixed,DG055,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata. Deep Research-belägg: Deep Research evidenstabell; matchar Muck Rack-post med liten titelvariation.
